EyeColor,IceCream,Snack,Adjective,Gender,Class
Brown,chocolate,Tchip,Outgoing,Male,PM
Brown,vanilla,popcorn,Moral,Male,PM
Brown,chocolate,Tchip,Outgoing,Male,PM
Brown,vanilla,Pchip,Moral,Male,PM
Green,chocolate,Pchip,Aggressive,Male,PM
Blue,chocolate,beef jerky,Outgoing,Male,PM
Brown,fruit,popcorn,Lively,Male,PM
Brown,chocolate,beef jerky,Moral,Male,PM
Brown,vanilla,Pchip,Perfectionist,Male,PM
Blue,vanilla,Tchip,Aggressive,Male,PM
Hazel,chocolate,beef jerky,Lively,Male,PM
Hazel,vanilla,Tchip,Perfectionist,Male,PM
Blue,fruit,Tchip,Lively,Male,PM
Brown,vanilla,Pchip,Perfectionist,Male,PM
Blue,vanilla,peanuts,Perfectionist,Male,PM
Brown,fruit,peanuts,Moral,Male,PM
Hazel,chocolate,beef jerky,Moral,Male,PM
Green,chocolate,Pchip,Aggressive,Male,PM
Brown,chocolate,Pchip,Outgoing,Male,PM
Blue,vanilla,peanuts,Lively,Male,PM
Brown,vanilla,Pchip,Outgoing,Male,PM
Blue,fruit,peanuts,Moral,Male,PM
Brown,chocolate,peanuts,Moral,Male,PM
Brown,chocolate,Tchip,Moral,Male,PM
Brown,vanilla,Pchip,Moral,Male,PM
Blue,vanilla,Pchip,Moral,Male,PM
Hazel,coffee,peanuts,Outgoing,Male,PM
Green,vanilla,Pchip,Moral,Male,PM
Blue,chocolate,Pchip,Perfectionist,Male,PM
Green,chocolate,Tchip,Perfectionist,Male,PM
Blue,vanilla,Pchip,Outgoing,Male,PM
Blue,coffee,beef jerky,Lively,Male,PM
Blue,vanilla,popcorn,Lively,Male,PM
Blue,vanilla,Tchip,Lively,Male,PM
Blue,vanilla,Pchip,Moral,Male,PM
Brown,vanilla,cheese,Lively,Male,PM
Brown,vanilla,Tchip,Moral,Male,PM
Blue,coffee,Tchip,Moral,Male,PM
Brown,vanilla,peanuts,Moral,Male,PM
Green,coffee,pretzels,Moral,Male,PM
Green,vanilla,Tchip,Moral,Male,PM
Blue,vanilla,Pchip,Perfectionist,Male,PM
